Index,date,close
1,11/15/2024,415
2,11/14/2024,426.89
3,11/13/2024,425.2
4,11/12/2024,423.03
5,11/11/2024,418.01
6,11/8/2024,422.54
7,11/7/2024,425.43
8,11/6/2024,420.18
9,11/5/2024,411.46
10,11/4/2024,408.46
11,11/1/2024,410.37
12,10/31/2024,406.35
13,10/30/2024,432.53
14,10/29/2024,431.95
15,10/28/2024,426.59
16,10/25/2024,428.15
17,10/24/2024,424.73
18,10/23/2024,424.6
19,10/22/2024,427.51
20,10/21/2024,418.78
21,10/18/2024,418.16
22,10/17/2024,416.72
23,10/16/2024,416.12
24,10/15/2024,418.74
25,10/14/2024,419.14
26,10/11/2024,416.32
27,10/10/2024,415.84
28,10/9/2024,417.46
29,10/8/2024,414.71
30,10/7/2024,409.54
31,10/4/2024,416.06
32,10/3/2024,416.54
33,10/2/2024,417.13
34,10/1/2024,420.69
35,9/30/2024,430.3
36,9/27/2024,428.02
37,9/26/2024,431.31
38,9/25/2024,432.11
39,9/24/2024,429.17
40,9/23/2024,433.51
41,9/20/2024,435.27
42,9/19/2024,438.69
43,9/18/2024,430.81
44,9/17/2024,435.15
45,9/16/2024,431.34
46,9/13/2024,430.59
47,9/12/2024,427
48,9/11/2024,423.04
49,9/10/2024,414.2
50,9/9/2024,405.72
51,9/6/2024,401.7
52,9/5/2024,408.39
53,9/4/2024,408.9
54,9/3/2024,409.44
55,8/30/2024,417.14
56,8/29/2024,413.12
57,8/28/2024,410.6
58,8/27/2024,413.84
59,8/26/2024,413.49
60,8/23/2024,416.79
61,8/22/2024,415.55
62,8/21/2024,424.14
63,8/20/2024,424.8
64,8/19/2024,421.53
65,8/16/2024,418.47
66,8/15/2024,421.03
67,8/14/2024,416.86
68,8/13/2024,414.01
69,8/12/2024,406.81
70,8/9/2024,406.02
71,8/8/2024,402.69
72,8/7/2024,398.43
73,8/6/2024,399.61
74,8/5/2024,395.15
75,8/2/2024,408.49
76,8/1/2024,417.11
77,7/31/2024,418.35
78,7/30/2024,422.92
79,7/29/2024,426.73
80,7/26/2024,425.27
81,7/25/2024,418.4
82,7/24/2024,428.9
83,7/23/2024,444.85
84,7/22/2024,442.94
85,7/19/2024,437.11
86,7/18/2024,440.37
87,7/17/2024,443.52
88,7/16/2024,449.52
89,7/15/2024,453.96
90,7/12/2024,453.55
91,7/11/2024,454.7
92,7/10/2024,466.25
93,7/9/2024,459.54
94,7/8/2024,466.24
95,7/5/2024,467.56
96,7/3/2024,460.77
97,7/2/2024,459.28
98,7/1/2024,456.73
99,6/28/2024,446.95
100,6/27/2024,452.85
101,6/26/2024,452.16
102,6/25/2024,450.95
103,6/24/2024,447.67
104,6/21/2024,449.78
105,6/20/2024,445.7
106,6/18/2024,446.34
107,6/17/2024,448.37
108,6/14/2024,442.57
109,6/13/2024,441.58
110,6/12/2024,441.06
111,6/11/2024,432.68
112,6/10/2024,427.87
113,6/7/2024,423.85
114,6/6/2024,424.52
115,6/5/2024,424.01
116,6/4/2024,416.07
117,6/3/2024,413.52
118,5/31/2024,415.13
119,5/30/2024,414.67
120,5/29/2024,429.17
121,5/28/2024,430.32
122,5/24/2024,430.16
123,5/23/2024,427
124,5/22/2024,430.52
125,5/21/2024,429.04
126,5/20/2024,425.34
127,5/17/2024,420.21
128,5/16/2024,420.99
129,5/15/2024,423.08
130,5/14/2024,416.56
131,5/13/2024,413.72
132,5/10/2024,414.74
133,5/9/2024,412.32
134,5/8/2024,410.54
135,5/7/2024,409.34
136,5/6/2024,413.54
137,5/3/2024,406.66
138,5/2/2024,397.84
139,5/1/2024,394.94
140,4/30/2024,389.33
141,4/29/2024,402.25
142,4/26/2024,406.32
143,4/25/2024,399.04
144,4/24/2024,409.06
145,4/23/2024,407.57
146,4/22/2024,400.96
147,4/19/2024,399.12
148,4/18/2024,404.27
149,4/17/2024,411.84
150,4/16/2024,414.58
151,4/15/2024,413.64
152,4/12/2024,421.9
153,4/11/2024,427.93
154,4/10/2024,423.26
155,4/9/2024,426.28
156,4/8/2024,424.59
157,4/5/2024,425.52
158,4/4/2024,417.88
159,4/3/2024,420.45
160,4/2/2024,421.44
161,4/1/2024,424.57
162,3/28/2024,420.72
163,3/27/2024,421.43
164,3/26/2024,421.65
165,3/25/2024,422.86
166,3/22/2024,428.74
167,3/21/2024,429.37
168,3/20/2024,425.23
169,3/19/2024,421.41
170,3/18/2024,417.32
171,3/15/2024,416.42
172,3/14/2024,425.22
173,3/13/2024,415.1
174,3/12/2024,415.28
175,3/11/2024,404.52
176,3/8/2024,406.22
177,3/7/2024,409.14
178,3/6/2024,402.09
179,3/5/2024,402.65
180,3/4/2024,414.92
181,3/1/2024,415.5
182,2/29/2024,413.64
183,2/28/2024,407.72
184,2/27/2024,407.48
185,2/26/2024,407.54
186,2/23/2024,410.34
187,2/22/2024,411.65
188,2/21/2024,402.18
189,2/20/2024,402.79
190,2/16/2024,404.06
191,2/15/2024,406.56
192,2/14/2024,409.49
193,2/13/2024,406.32
194,2/12/2024,415.26
195,2/9/2024,420.55
196,2/8/2024,414.11
197,2/7/2024,414.05
198,2/6/2024,405.49
199,2/5/2024,405.65
200,2/2/2024,411.22
201,2/1/2024,403.78
202,1/31/2024,397.58
203,1/30/2024,408.59
204,1/29/2024,409.72
205,1/26/2024,403.93
206,1/25/2024,404.87
207,1/24/2024,402.56
208,1/23/2024,398.9
209,1/22/2024,396.51
210,1/19/2024,398.67
211,1/18/2024,393.87
212,1/17/2024,389.47
213,1/16/2024,390.27
214,1/12/2024,388.47
215,1/11/2024,384.63
216,1/10/2024,382.77
217,1/9/2024,375.79
218,1/8/2024,374.69
219,1/5/2024,367.75
220,1/4/2024,367.94
221,1/3/2024,370.6
222,1/2/2024,370.87
223,12/29/2023,376.04
224,12/28/2023,375.28
225,12/27/2023,374.07
226,12/26/2023,374.66
227,12/22/2023,374.58
228,12/21/2023,373.54
229,12/20/2023,370.62
230,12/19/2023,373.26
231,12/18/2023,372.65
232,12/15/2023,370.73
233,12/14/2023,365.93
234,12/13/2023,374.37
235,12/12/2023,374.38
236,12/11/2023,371.3
237,12/8/2023,374.23
238,12/7/2023,370.95
239,12/6/2023,368.8
240,12/5/2023,372.52
241,12/4/2023,369.14
242,12/1/2023,374.51
243,11/30/2023,378.91
244,11/29/2023,378.85
245,11/28/2023,382.7
246,11/27/2023,378.61
247,11/24/2023,377.43
248,11/22/2023,377.85
249,11/21/2023,373.07
250,11/20/2023,377.44
251,11/17/2023,369.85
252,11/16/2023,376.17
253,11/15/2023,369.67
254,11/14/2023,370.27
255,11/13/2023,366.68
256,11/10/2023,369.67
257,11/9/2023,360.69
258,11/8/2023,363.2
259,11/7/2023,360.53
260,11/6/2023,356.53
261,11/3/2023,352.8
262,11/2/2023,348.32
263,11/1/2023,346.07
264,10/31/2023,338.11
265,10/30/2023,337.31
266,10/27/2023,329.81
267,10/26/2023,327.89
268,10/25/2023,340.67
269,10/24/2023,330.53
270,10/23/2023,329.32
271,10/20/2023,326.67
272,10/19/2023,331.32
273,10/18/2023,330.11
274,10/17/2023,332.06
275,10/16/2023,332.64
276,10/13/2023,327.73
277,10/12/2023,331.16
278,10/11/2023,332.42
279,10/10/2023,328.39
280,10/9/2023,329.82
281,10/6/2023,327.26
