Index,date,close
1,11/18/2024,176
2,11/15/2024,173.89
3,11/14/2024,177.35
4,11/13/2024,180.49
5,11/12/2024,183.32
6,11/11/2024,181.97
7,11/8/2024,179.86
8,11/7/2024,182.28
9,11/6/2024,178.33
10,11/5/2024,171.41
11,11/4/2024,170.68
12,11/1/2024,172.65
13,10/31/2024,172.69
14,10/30/2024,176.14
15,10/29/2024,171.14
16,10/28/2024,168.34
17,10/25/2024,166.99
18,10/24/2024,164.53
19,10/23/2024,164.48
20,10/22/2024,166.82
21,10/21/2024,165.8
22,10/18/2024,165.05
23,10/17/2024,164.51
24,10/16/2024,166.74
25,10/15/2024,166.9
26,10/14/2024,166.35
27,10/11/2024,164.52
28,10/10/2024,163.18
29,10/9/2024,163.06
30,10/8/2024,165.7
31,10/7/2024,164.39
32,10/4/2024,168.56
33,10/3/2024,167.21
34,10/2/2024,167.31
35,10/1/2024,168.42
36,9/30/2024,167.19
37,9/27/2024,165.29
38,9/26/2024,163.83
39,9/25/2024,162.99
40,9/24/2024,163.64
41,9/23/2024,163.07
42,9/20/2024,164.64
43,9/19/2024,163.24
44,9/18/2024,160.81
45,9/17/2024,160.28
46,9/16/2024,158.99
47,9/13/2024,158.37
48,9/12/2024,155.54
49,9/11/2024,152.15
50,9/10/2024,150.01
51,9/9/2024,149.54
52,9/6/2024,152.13
53,9/5/2024,158.6
54,9/4/2024,157.81
55,9/3/2024,158.61
56,8/30/2024,165.11
57,8/29/2024,163.4
58,8/28/2024,164.5
59,8/27/2024,166.38
60,8/26/2024,167.93
61,8/23/2024,167.43
62,8/22/2024,165.49
63,8/21/2024,167.63
64,8/20/2024,168.96
65,8/19/2024,168.4
66,8/16/2024,164.74
67,8/15/2024,163.17
68,8/14/2024,162.03
69,8/13/2024,165.93
70,8/12/2024,163.95
71,8/9/2024,165.39
72,8/8/2024,163.84
73,8/7/2024,160.75
74,8/6/2024,160.54
75,8/5/2024,160.64
76,8/2/2024,168.4
77,8/1/2024,172.45
78,7/31/2024,173.15
79,7/30/2024,171.86
80,7/29/2024,171.13
81,7/26/2024,168.68
82,7/25/2024,169.16
83,7/24/2024,174.37
84,7/23/2024,183.6
85,7/22/2024,183.35
86,7/19/2024,179.39
87,7/18/2024,179.22
88,7/17/2024,182.62
89,7/16/2024,185.5
90,7/15/2024,188.19
91,7/12/2024,186.78
92,7/11/2024,187.3
93,7/10/2024,192.66
94,7/9/2024,190.44
95,7/8/2024,190.48
96,7/5/2024,191.96
97,7/3/2024,187.39
98,7/2/2024,186.61
99,7/1/2024,184.49
100,6/28/2024,183.42
101,6/27/2024,186.86
102,6/26/2024,185.37
103,6/25/2024,185.58
104,6/24/2024,180.79
105,6/21/2024,180.26
106,6/20/2024,177.71
107,6/18/2024,176.45
108,6/17/2024,178.78
109,6/14/2024,178.37
110,6/13/2024,176.74
111,6/12/2024,179.56
112,6/11/2024,178.19
113,6/10/2024,176.63
114,6/7/2024,175.95
